Analyte,Fold Change (Positive/Negative),p-value,Positive Median,Negative Median,log2 Fold Change,#NAME?,Statistical test
MSMP.8080.24,0.610751725,0.001127734,10.03605647,10.74739853,-0.711342062,2.947793201,Linear Model
GZMH.3373.5,1.187479712,0.001128948,8.878868363,8.630965498,0.247902865,2.947326008,Linear Model
ADAMTSL1.16890.37,0.75634984,0.001129273,12.30547355,12.70834796,-0.402874405,2.947201046,Linear Model
TFF3.4721.54,0.573722638,0.001130839,12.07021774,12.87179239,-0.80157465,2.946599413,Linear Model
SH3BGRL.12693.2,0.728384198,0.001144306,9.904647289,10.36187576,-0.457228472,2.941457768,Linear Model
NTM.10907.116,0.723492267,0.001159134,12.61751464,13.08446514,-0.466950498,2.935866486,Linear Model
CD46.17682.1,0.824821327,0.001169348,10.58820189,10.86604835,-0.277846459,2.932056097,Linear Model
LAMTOR3.12490.92,0.857768865,0.001182084,10.7984013,11.01974045,-0.221339144,2.927351538,Linear Model
UGP2.13939.14,1.499385532,0.001185465,9.918937372,9.334565986,0.584371387,2.926111148,Linear Model
NEGR1.13109.82,0.790077523,0.001207293,10.74649028,11.08642415,-0.339933877,2.918187366,Linear Model
CREBBP.13614.6,1.268200648,0.001220535,12.56655652,12.2237735,0.342783019,2.91344994,Linear Model
ARHGAP1.11955.1,0.822366085,0.0012258,10.11865449,10.40080181,-0.282147328,2.911580472,Linear Model
LST1.9531.24,1.555443912,0.00124591,11.2212646,10.58393822,0.637326373,2.904513377,Linear Model
CAMP.15481.45,0.758257539,0.001249791,15.07410315,15.47334331,-0.399240158,2.903162442,Linear Model
RNASE4.5644.60,0.825227544,0.001264246,13.41334252,13.69047864,-0.277136119,2.898168348,Linear Model
COMT.18382.109,0.848915604,0.001267856,10.02135368,10.25766064,-0.236306961,2.896930095,Linear Model
ZNF264.9993.11,1.187112435,0.001272791,10.16739397,9.91993739,0.247456583,2.895242802,Linear Model
BATF.19227.18,1.076779236,0.001285475,8.570395271,8.463672776,0.106722496,2.890936223,Linear Model
C1R.3285.23,0.788506587,0.001315811,16.20113955,16.54394484,-0.342805288,2.880806418,Linear Model
HSPA1A.14237.1,0.802509258,0.001340224,10.2575282,10.57493826,-0.31741006,2.872822527,Linear Model
TESC.12831.21,0.748012899,0.001341031,11.50791336,11.92677831,-0.418864945,2.872561201,Linear Model
ASAH2.3212.30,0.801710205,0.001351144,10.71246917,11.03131642,-0.318847257,2.869298477,Linear Model
OTOR.15432.1,0.828151091,0.00135279,9.862540729,10.13457482,-0.272034092,2.868769475,Linear Model
CLEC2D.7054.87,1.127843304,0.001364092,11.37704209,11.20347544,0.173566642,2.865156337,Linear Model
ANXA8.18290.6,1.147295945,0.001365693,10.19427994,9.996042354,0.198237583,2.864646991,Linear Model
PTGDS.10514.5,0.727863068,0.001381137,13.26635194,13.72461298,-0.458261032,2.859763151,Linear Model
GDNF.5822.22,1.151860284,0.001383159,8.632294188,8.428328454,0.203965735,2.859127921,Linear Model
IL36B.14149.9,1.107901467,0.001384465,9.7089611,9.561131522,0.147829579,2.858718165,Linear Model
SCIN.12684.5,0.805622083,0.001387501,11.57143732,11.88326218,-0.311824865,2.857766667,Linear Model
FJX1.7921.65,0.744508163,0.001400573,10.94569854,11.37133896,-0.425640428,2.853694345,Linear Model
NMB.9321.400,0.841319718,0.001401844,9.347192515,9.596466454,-0.249273938,2.853300197,Linear Model
ACBD6.19341.36,0.821020647,0.001410577,16.21464728,16.49915688,-0.284509592,2.850603117,Linear Model
LRTM2.8906.60,0.877419736,0.001415951,11.88622031,12.07488125,-0.188660938,2.84895172,Linear Model
TPP1.17691.1,1.277902835,0.001417076,10.78116218,10.42738403,0.353778146,2.848606896,Linear Model
RBP4.15633.6,0.684388498,0.001425085,11.10391493,11.65102751,-0.547112581,2.846159215,Linear Model
CDH5.2819.23,0.825093647,0.001426191,13.21447003,13.49184025,-0.277370222,2.845822345,Linear Model
MPL.3473.78,0.874987146,0.001455565,7.442896394,7.635562667,-0.192666272,2.836968346,Linear Model
ROBO3.5117.14,1.140056234,0.001484685,8.922540869,8.733435881,0.189104988,2.828365731,Linear Model
ARSA.3583.54,1.194470597,0.001496073,9.579504412,9.323133071,0.25637134,2.825047261,Linear Model
AGA.10435.2,0.852939394,0.001496697,8.968259347,9.197744209,-0.229484862,2.824866045,Linear Model
RGMA.5483.1,0.846757188,0.001499087,12.86245465,13.10243441,-0.239979767,2.824173256,Linear Model
