"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"APOA1",-0.460620447596971,0.0344699430232331,-3.74087585023037,0.00096893758610043,0.00844970571408169,-0.902284737058496,"APOA1"
"ITIH2",-0.45067955898389,0.0444633440087781,-3.7335371906199,0.000987134795859395,0.0085664039113847,-0.919946768177595,"ITIH2"
"HSPA8",0.483388203501228,-0.0406898232082022,3.72426267250286,0.00101061253576358,0.00872757136467673,-0.942255060946628,"HSPA8"
"NEO1",-0.346227918724164,0.0764358025852959,-3.70690566505817,0.00105603136641922,0.00905069700794288,-0.983965526640272,"NEO1"
"YWHAE",0.534541334320218,-0.0863643877127111,3.7060938303165,0.00105820403465549,0.00905069700794288,-0.985915184552379,"YWHAE"
"IVL",-0.614212439920092,-0.0127835616706496,-3.69664290014454,0.00108382177763535,0.00922217706362864,-1.00860368053163,"IVL"
"CACNA2D1",-0.640876698785573,0.010859856077168,-3.69444986139567,0.00108985259462999,0.00922217706362864,-1.0138662202329,"CACNA2D1"
"ITGA1",-0.352216980263107,0.00720987433115098,-3.69129164091586,0.00109859547692182,0.00922217706362864,-1.02144339559108,"ITGA1"
"PGD",0.638156760397257,-0.0670267389716174,3.69115004575228,0.00109898905985906,0.00922217706362864,-1.0217830687886,"PGD"
"HK3",0.864401505093557,-0.0629165159726327,3.94808189195084,0.00170806247299494,0.012154572557832,-1.02876450160146,"HK3"
"PEBP4",-0.840391423998992,0.0567403750385181,-3.67455822667682,0.00114607786754574,0.00952744171198072,-1.06156087778763,"PEBP4"
"DISP1",0.598699328235239,-0.0474680999669874,3.92769000974311,0.00177463109925391,0.0124388914590842,-1.06456678980593,"DISP1"
"NAP1L4",0.532625214699189,0.0336852634497236,3.67235469959875,0.00115247848493375,0.00953608941719601,-1.06684002861694,"NAP1L4"
"CD93",-0.511323462835681,0.0306054061529747,-3.67018307869633,0.00115882067863841,0.00954417586711912,-1.07204189253176,"CD93"
"GALNT7",-0.566445621060065,0.00171772026134401,-3.91310242314451,0.00182387858624976,0.0125762790889082,-1.09019968521064,"GALNT7"
"SEMA3A",-0.48510894763163,0.0423987486616071,-3.66095157182377,0.00118616486133932,0.00966596694956395,-1.0941454547361,"SEMA3A"
"SDC1",0.723436598546103,-0.105404137359456,3.65970404050181,0.00118990824168325,0.00966596694956395,-1.09713131824884,"SDC1"
"LILRA3",0.897931563777101,-0.0994232225890696,3.65667455356714,0.00119904683237799,0.00969592870363838,-1.10438097309759,"LILRA3"
"PDGFRB",-0.467729647363828,0.0475152407418808,-3.64992530760394,0.00121965403845064,0.00978609233172631,-1.12052612654981,"PDGFRB"
"NAGK",0.416815354260564,0.0995836510690327,3.64942390715146,0.00122119870581408,0.00978609233172631,-1.12172521582834,"NAGK"
"FTH1",0.757927061459402,-0.0797345643564955,3.64594662906642,0.00123196399483586,0.00982808944759189,-1.1300397902328,"FTH1"
"SAR1B",0.735748524374161,-0.132222883142104,3.88484391105128,0.0019233008248898,0.0130593594178586,-1.13990385279156,"SAR1B"
"PGK1",0.525046242310483,-0.0393610002781273,3.64054884883031,0.00124885921767987,0.00991839530469863,-1.14294210329917,"PGK1"
"CAND1",0.450951874038037,0.0213307250555168,3.63680896590388,0.00126069793850228,0.00992950226959694,-1.15187838798142,"CAND1"
"CAPN1",0.354770295551283,-0.0196093434005941,3.6365817426797,0.0012614207492574,0.00992950226959694,-1.15242124425578,"CAPN1"
"TF",-0.44596718315428,0.0310824014876311,-3.61503374315388,0.00133184052809119,0.0104376400857896,-1.20385739890926,"TF"
"IGLV3-25",1.10386619930553,-0.16894279602072,3.61271182289954,0.00133965433355022,0.0104528292078327,-1.20939470533215,"IGLV3-25"
"GPNMB",-0.446898587562957,0.197891511050023,-3.60749910732044,0.0013573599816283,0.0105166111047839,-1.22182222050423,"GPNMB"
"ADGRG2",-0.406554116670093,-0.024704038462887,-3.60300854205369,0.00137279603669974,0.0105723123345837,-1.23252389643838,"ADGRG2"
"RPIA",0.696343019719877,-0.052329196269487,3.59783019365127,0.00139080940705402,0.0106648704101255,-1.24485983422623,"RPIA"
"IL1R2",-0.431560177490083,0.0514840917967976,-3.59447170996474,0.0014026154985973,0.0107092402231957,-1.25285768667683,"IL1R2"
"FEN1",-1.12767701317491,-0.0537757124384755,-3.58953527513777,0.0014201465373116,0.0107967550849459,-1.26460926757914,"FEN1"
"CAPZA2",-0.496816385788421,0.00375313702815548,-3.57035492214975,0.00149031751092763,0.0112820206465543,-1.31022417213754,"CAPZA2"
"FAP",-0.532230792130882,0.0769396511387992,-3.56673777799495,0.0015039251610151,0.0113367917857876,-1.31881831254274,"FAP"
"IGFBP5",-0.46542769129584,0.0390727507487083,-3.55908182825562,0.00153312809153836,0.0114312896757859,-1.3369997752922,"IGFBP5"
"PODXL",-0.377804134487771,-0.000153871737637407,-3.55861666726911,0.00153492013610797,0.0114312896757859,-1.33810406572076,"PODXL"
"IGHV1-24",0.984716371177406,-0.178820168582756,3.55840450234537,0.00153573818578575,0.0114312896757859,-1.33860772992227,"IGHV1-24"
"NAP1L1",0.594122502051551,-0.0624852747411206,3.55643374424603,0.00154335725390278,0.0114401356445543,-1.34328573196004,"NAP1L1"
"CTSS",-0.397741652467678,-0.0347018869088513,-3.55470466557256,0.00155007235379468,0.0114422353419118,-1.34738940964878,"CTSS"
"MMP2",-0.404914606502567,0.0468428029914286,-3.54945109377604,0.00157065070883524,0.0115462297975946,-1.3598541505767,"MMP2"
"CCT7",0.438320105731203,-0.0234180403265903,3.54283633201517,0.00159694034966592,0.0116911805845913,-1.37554046233183,"CCT7"
"SNX3",0.672986724692451,-0.188002663926484,3.74786249363813,0.00248992556034476,0.0158766221213381,-1.38168217713788,"SNX3"
"MEGF9",-0.397521845778264,0.0362218876458257,-3.53940751004698,0.00161073629704232,0.0117438519362225,-1.38366806834008,"MEGF9"
"APOM",-0.333934972860035,0.0961298377169555,-3.53685697452387,0.00162107378596203,0.0117709806743937,-1.3897122299606,"APOM"
"HEG1",-0.335545421195037,0.0491278149987803,-3.53403102107976,0.00163260314946769,0.0118065081418822,-1.39640749442424,"HEG1"
"FKBP5",0.544606410056463,-0.0311616669618124,3.7362692402429,0.00254510470907644,0.0159353235445889,-1.40220266580863,"FKBP5"
"LRIG2",-0.637792485224655,0.048820843844687,-3.73280500737415,0.00256183391441957,0.0159353235445889,-1.40833607451273,"LRIG2"
"LSAMP",-0.461262671806591,0.0392285175662177,-3.52888063084209,0.00165382185342393,0.0119115347256728,-1.40860556118908,"LSAMP"
"SDK1",-0.416222515081882,0.236559903195459,-3.52104843385795,0.00168660555260507,0.0120986745084049,-1.42714454020239,"SDK1"
"CST6",-0.667960896677367,0.0161523831707839,-3.51888802831862,0.00169575944095122,0.0121154861263141,-1.4322560005451,"CST6"
"MYOZ1",-0.70358414285853,0.162272262998166,-3.70444917823019,0.00270305313625118,0.0164747401573384,-1.45856656320864,"MYOZ1"
