"","x"
"ANTXR2",564.393091949514
"IGHA2",4.37440879043259
"IGFBP7",5.62481649668546
"MTHFD1",16.6467018540932
"NAP1L1",5.73428502358787
"MANBA",11.9143613612571
"FTL",10.323253978711
"GNPTG",3.87328745689699
"VMO1",9.34621534665949
"MMRN2",17.7299124474721
"PLS3",17.8114347391458
"IGHV3-38",5.5307415287851
"CORO1C",6.7709610864281
"CTSL",7.17823264267275
"PGAM1",31.402780579359
"ACTBL2",7.33051722116662
"FCGR3B",7.00674146964959
"HLA-C",2.9971857301321
"ADIPOQ",7.47650850624807
"MAN2A1",28.9218460052212
"FKBP1A",3.16333349347693
"MCAM",9.66416231917058
"SELL",8.32346155871751
"SRGN",4.91524647243912
"LGALSL",10.1224360563424
"ANPEP",6.05808721152914
"CETP",13.742168258651
"PNLIP",6.84981588949567
"NCAM1",10.9266946103314
"ENO2",12.0725700578716
"CTSD",2.59972177173936
"PKM",5.48051964022278
"YWHAQ",12.0624643523532
"IGLV1-40",6.18494337639085
"PGD",22.4888009292678
"ALDOC",5.63368736021302
"IGHV3-20",4.36639409428544
"FLNB",26.3389520934913
"GALNT2",6.76761701896957
"IGFBP4",3.57943826242881
"PAPLN",7.94573146564342
"PCCA",3.84188033939574
"IGF2",7.18904268307718
"HSPA4",25.479049063517
"CYCS",16.1848560509083
"FCRL5",3.76428571151899
"PTBP1",11.1952775255844
"PTPRJ",15.4617536211672
"NCAM2",39.5790672646087
"INF2",3.87499998888718
"SOD1",3.25107187172448
"MASP1",3.80932766228588
"STOM",4.76465197576425
"KRT6B",3.974855370993
"PSAP",11.9999999999967
"LTBP1",4.98174230510559
"IGHV4-4",5.57555278796235
"ANXA1",7.4075236792742
"TFRC",4.06780028930734
"PCSK9",4.12668965626769
"IGKV1-5",2.44753827413357
"DPEP2",25.4132162639703
"HLA-B",9.59531429373696
"RNH1",10.4317464144304
"PAM",60.3965733626073
"CAT",6.18437480994015
"S100A8",8.66501647139774
"PGM1",6.09309461098132
"B2M",9.62006805943981
"RPIA",6.11433003819095
"DCD",4.99078048860638
"MTPN",55.0640063524009
"PECAM1",6.71716129140135
"GOT1",5.44937202554632
"IGKV1D-8",4.50642452199764
"IGF2R",3.90962073494605
"CALU",3.37307846582409
"BLVRB",3.2341090238151
"ENG",1036.8297798055
"YWHAG",18.3900405037705
"CAND1",40.962144973599
"FBLN1",7.03053783866101
"AFM",12.0949128863817
"PEPD",3.04995527491202
"RAN",4.74852709545053
"PLEC",4.01643849576193
"IGLL1",3.17802150717947
"PROZ",3.94971912704851
"CTSZ",4.24582409326225
