"","Sensitivity","Se 95% CI, Lower limit","Se 95% CI, Upper limit","Specificity","Spec 95% CI, Lower limit","Spec 95% CI, Upper limit","Std Dev Study","Corr study","N_study","Mean posLR","Median posLR","posLR 95% CI, Lower limit","posLR 95% CI, Upper limit","Mean negLR","Median negLR","negLR 95% CI, Lower limit","negLR 95% CI, Upper limit","Mean DOR","Median DOR","DOR 95% CI, Lower limit","DOR 95% CI, Upper limit","AUC","abs_diff","protein","cat","Wald_Pval","adj.Pval"
"291",0.576414355811204,0.391913144346198,0.741814247569451,0.773034615846257,0.628244740426764,0.872845819451147,0.678322921158795,-0.998585078302928,7,2.73,2.53,1.14,5.48,0.566,0.55,0.306,0.921,5.8,4.63,1.24,17.2,75,0.196620260035053,"MYH9","Not significant",1.08006068012462e-06,3.18765629301219e-06
"292",0.836674697612565,0.693469440505171,0.920634044112011,0.72180984476601,0.416613900592797,0.904097314163274,1.11439534309247,-0.683546383822291,4,3.54,2.98,1.32,9.04,0.26,0.231,0.0979,0.59,19.8,13.3,2.3,76.5,86,0.114864852846554,"PRG2","Not significant",4.93941685035815e-06,1.27219463175007e-05
"293",0.679900750673859,0.597363641295922,0.752527716397093,0.732881481328704,0.594241597359525,0.837133818692683,0.785073878165195,-0.0346641027696831,10,2.64,2.54,1.64,4.22,0.445,0.439,0.326,0.596,6.25,5.83,2.81,12.1,75,0.0529807306548453,"VCL","70-79%",1.11606104187706e-06,3.26414238452598e-06
"294",0.741201650580766,0.522073795389886,0.882476563848097,0.550577042048923,0.372349917940007,0.716700554668133,0.652624494568697,-1,5,1.72,1.64,0.873,3.02,0.527,0.472,0.173,1.2,4.84,3.51,0.725,16.9,67,0.190624608531843,"GSR","Not significant",0.000855100687414181,0.00135449064841626
"295",0.745293013311173,0.539768713781717,0.879522452941347,0.77657075464499,0.629348953247303,0.876766643612761,0.610627129075451,0.720012095387613,7,3.42,3.28,2.06,5.6,0.341,0.331,0.166,0.572,11.3,10.2,4.2,24.7,83,0.0312777413338176,"PSMA6","80-89%",0.00194885391205666,0.00282636720009561
"296",0.552020406295267,0.409026824430243,0.686899668752182,0.722183637007849,0.578728358451178,0.831049401459728,0.465856616836187,1,5,2.03,1.97,1.36,3.02,0.627,0.625,0.46,0.803,3.36,3.2,1.74,5.91,68,0.170163230712582,"PROCR","Not significant",0.00927882729068465,0.0115066938687801
"297",0.724137930739275,0.658654587464907,0.78123150263897,0.617647058310685,0.497622053399815,0.724851930779537,1.14156259477857e-10,NA,6,1.93,1.89,1.42,2.65,0.454,0.448,0.337,0.603,4.43,4.24,2.38,7.55,NA,0.10649087242859,"YWHAB","Not significant",9.91314837239946e-10,5.34759281644438e-09
"298",0.623024786133828,0.465917116278922,0.75792870067861,0.968192969869427,0.788013274966499,0.996004157055288,0.568013074056632,-1,3,34.6,19.4,2.79,159,0.403,0.396,0.251,0.59,97.4,50.4,5.28,480,81,0.345168183735599,"MYL9","Not significant",0.00114315380815704,0.00175633282867165
"299",0.644767490859741,0.464091841100447,0.791850298813382,0.842585812494724,0.505879923570715,0.965499418065669,1.29232429815363,0.33617602179489,4,5.45,4.03,1.29,18,0.453,0.436,0.251,0.758,14.2,9.71,1.76,53.7,74,0.197818321634983,"PRDX5","Not significant",0.059131656558818,0.0631648388543589
"300",0.76757795416723,0.589790240596006,0.883527992554999,0.917290756269199,0.464562240326529,0.992995514113664,1.69769677236148,-1,3,21,9.16,1.31,114,0.297,0.264,0.124,0.668,108,36.6,2.04,661,83,0.149712802101969,"CDHR2","Not significant",0.000473160728692216,0.000784025712559968
