"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","prot_id","entrez_id"
6.969635,5.94753625,0.967251168730504,0.566842089738367,20,10,"E9KL26;P05155;E9PGN7;H9KV48;Q5UGI6","SERPING1","ENSG00000149131","ENSP00000384561",710
-0.794229445,-0.2495627635,2.20683345709901,2.04789002778717,20,10,"E9PP50;V9HWI5;P23528;G3V1A4;E9PK25;E9PQB7;B4E112;E9PLJ3;E9PS23","CFL1;HEL-S-15",NA,NA,NA
2.182211267,1.5400045,1.35188700008534,0.542003299773986,20,10,"F2RM37;P00740;F2RM35","F9 p22;F9;factor IX F9",NA,NA,NA
-2.356130875,-3.713651,2.19335544884208,1.48847667018033,20,10,"F8VYK9;P24592","IGFBP6","ENSG00000167779","ENSP00000448953",3489
-0.730313425,-1.4232507,1.38730936514277,0.967334761385151,20,10,"Q53GN8;G3XAK1;P26927","MST1","ENSG00000173531","ENSP00000394756",4485
-1.70774882,-2.712646595,1.61686605240605,1.9095164148835,20,10,"H0Y755;M9MML0;P08637;Q9UN20","FCGR3A","ENSG00000203747","ENSP00000392047",2214
2.6785055,3.17770075,0.772207465843862,0.509644201976637,20,10,"H0YAC1;P03952;A8K9A9;E9PBC5;B4DMX2","KLKB1","ENSG00000164344","ENSP00000426629",3818
-0.15769790175,0.73610958,1.56820455273962,1.21405406212285,20,10,"I3L145;P04278;I3L1J1;B4DYU0;A0A0C4DGN2;I3L2X4;I3L4B9;I3L2F1;B0FWH6;B0FWH5","SHBG","ENSG00000129214","ENSP00000458875",6462
-2.5522798175,-1.342938875,2.37135353450019,0.947866925501231,20,10,"J3KPA1;P54108;B4E1S8;I3L0A1","CRISP3","ENSG00000096006","ENSP00000263045",10321
5.057872,4.906112,1.0615742182416,0.730954338766945,20,10,"K7ER74;A0A024R0T9;A0A0S2Z3C2;P02655","APOC4-APOC2;APOC2",NA,NA,NA
-1.2084098475,-2.005211675,2.08493979482655,1.03697929375662,20,10,"O00187","MASP2","ENSG00000009724","ENSP00000383690",10747
-1.4253650775,-2.0723666,2.07659492981837,1.16890468462234,20,10,"O00391;A0A140VKE5;A8K477;A8K4C2;Q13876","QSOX1;BPGF-1",NA,NA,NA
-1.2077131165,-1.3388714,1.92770135417265,1.11160303430701,20,10,"O43866","CD5L","ENSG00000073754","ENSP00000357156",922
-3.268980125,-4.6337235,2.01648141010449,1.0541467045911,20,10,"O75594","PGLYRP1","ENSG00000008438","ENSP00000008938",8993
2.8175659975,1.71754607,1.3058874575607,1.10168835163795,20,10,"O75636;Q6UXM4;Q6UY50","FCN3;UNQ172",NA,NA,NA
0.2854664025,0.842014325,1.1653930840367,0.454908730279829,20,10,"O75882;B4DZ36","ATRN","ENSG00000088812","ENSP00000262919",8455
3.63078,4.19265125,0.968274348495954,0.595389144098269,20,10,"O95445;Q5SRP5","APOM","ENSG00000235754","ENSP00000397018",55937
-0.245719755,0.603038505,1.08725397047305,0.683856957195206,20,10,"P00488;B2R6V9","F13A1","ENSG00000124491","ENSP00000264870",2162
6.06577575,5.8644115,0.754920138451874,0.517578243516271,20,10,"P00734;B4DDT3;E9PIT3;Q69EZ8","F2","ENSG00000180210","ENSP00000308541",2147
5.21026875,1.60101845,2.49234445399036,1.02640951125958,20,10,"P00738;J3QR68;H0Y300;A0A0C4DGL8;J3QLC9;Q6NSB4;A0A087WU08;Q6PEJ8","HP","ENSG00000257017","ENSP00000348170",3240
-1.644929855,-3.2395483055,2.23564364545346,1.93958348946949,20,10,"P00739;A0A0A0MRD9","HPR","ENSG00000261701","ENSP00000497360",3250
0.53885537525,0.000499475000000002,1.20692225865532,0.714349747312713,20,10,"Q5JVE7;P00742","F10","ENSG00000126218","ENSP00000387092",2159
6.14043525,6.227256,0.891976370101625,0.424485727104641,20,10,"P00747;B2R7F8;B4DPH4","PLG","ENSG00000122194","ENSP00000355891",5340
-1.474180775,-3.51599375,3.62544262911382,1.88770685603861,20,10,"V9HWE3;P00915;E5RHP7;E5RH81;E5RIF9;E5RG43;E5RFE7;E5RFL2","HEL-S-11;CA1",NA,NA,NA
1.53030244425,1.506887125,1.28417734216947,0.719668097189342,20,10,"P01023","A2M","ENSG00000175899","ENSP00000323929",2
8.12476675,7.88332625,1.01487476408782,0.56387383201836,20,10,"V9HWA9;P01024;B4E216","HEL-S-62p;C3",NA,NA,NA
4.097851,3.54496,0.913146118353868,0.456270267665509,20,10,"P01031;Q59GS8","C5","ENSG00000106804","ENSP00000223642",727
8.1349755,8.51830925,0.499912049764493,0.552427591921997,20,10,"V9GYM3;P02652;V9GYG9;V9GYE3;V9GYC1;V9GYS1","APOA2","ENSG00000158874","ENSP00000356969",336
3.3700108425,1.558667475,1.73163364917378,1.63631888494979,20,10,"P02671;A0A0S2Z3E8","FGA","ENSG00000171560","ENSP00000498441",2243
2.02703201,-2.425385405,3.0212200444009,1.87265975812011,20,10,"V9HVY1;P02675;B4E1D3;D3DP13;D6REL8","HEL-S-78p;FGB",NA,NA,NA
4.0572081375,-2.99118,3.67760626272104,2.38260310231126,20,10,"P02741;Q5VVP7","CRP","ENSG00000132693","ENSP00000255030",1401
5.52713675,4.74401,1.66795183510328,0.820528653369277,20,10,"V9HWP0;P02743","HEL-S-92n;APCS",NA,NA,NA
5.07151675,5.8297095,1.16825762637005,0.443773888987336,20,10,"Q5VY30;P02753","RBP4","ENSG00000138207","ENSP00000360522",5950
5.59093775,5.86181425,0.887146111411956,0.461128503911343,20,10,"P02760;B7Z8R6;S4R3Y4","AMBP","ENSG00000106927","ENSP00000265132",259
3.575689,1.43093091,1.89984841871841,0.781347735681453,20,10,"V9HWF6;P02763","HEL-S-153w;ORM1",NA,NA,NA
7.2776215,7.44275,0.843329552168539,0.320508949840372,20,10,"V9HWI6;P02774","HEL-S-51;GC",NA,NA,NA
3.89249705,4.54176775,1.36860629262355,0.680739601577711,20,10,"P02776","PF4","ENSG00000163737","ENSP00000296029",5196
8.91983125,8.67941525,0.826039094431141,0.374248871044927,20,10,"P02790;Q9BS19","HPX","ENSG00000110169","ENSP00000265983",3263
-0.2129096785,-0.822902525,1.32739205228663,0.697835840854647,20,10,"P03951","F11","ENSG00000088926","ENSP00000384957",2160
